APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory
1418-15-701-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,11/04/2015,TRPA-TRF-299,09/23/2015,1418-15-701-009,,TRAN2014-1319,,Non-Sensitive
1418-34-110-065,Transfer Receiving Parcel,Coverage (hard),7,,122,,03/20/2017,TRPA-TRF-518,05/04/2016,1418-34-110-064,,TRAN2015-1099,,Non-Sensitive
1418-34-201-009,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),4,,1,,02/26/2020,TRPA-TRF-919,02/24/2020,1318-26-515-032,,TRAN2019-0823,TRAN2019-0823,Non-Sensitive
1418-34-401-006,Transfer Receiving Parcel,Coverage (potential),IPES,760.0,818,,11/15/2023,TRPA-TRF-1281,10/23/2023,1418-34-401-007,,TRAN2020-1004,TRAN2020-1004,Non-Sensitive
520-201-00,Transfer Receiving Parcel,Coverage (potential),5,,135,,03/10/2023,TRPA-TRF-2142,02/23/2023,027-131-016,,CORR2023-0239,,Non-Sensitive
014-021-011,Transfer Sending Parcel,Coverage (potential),3,,1243,,01/28/2022,TRPA-TRF-1457,01/25/2022,,014-321-002,TRAN2021-0370,,Sensitive
014-303-002,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,733.0,1,,03/06/2025,TRPA-TRF-2661,03/05/2025,,032-291-029,TRAN2024-0995,,Non-Sensitive
016-101-073,Transfer Sending Parcel,Coverage (potential),IPES,642.0,674,,10/07/2016,TRPA-TRF-378,09/27/2016,,016-513-012,TRAN2016-0443,,Sensitive
016-313-010,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,767.0,1,,04/27/2023,TRPA-TRF-2120,03/30/2023,,032-277-001,TRAN2022-1566,,Non-Sensitive
016-600-013,Transfer Sending Parcel,Coverage (potential),4,,323,,11/04/2015,TRPA-TRF-295,06/24/2015,,016-091-027,TRAN2015-0122,,Non-Sensitive
018-300-021,Transfer Sending Parcel,Coverage (potential),IPES,659.0,1950,,04/05/2023,TRPA-TRF-2124,04/04/2023,,016-483-005,TRAN2021-1209,,Sensitive
018-300-023,Transfer Sending Parcel,Coverage (potential),5,,150,,04/03/2019,TRPA-TRF-770,04/01/2019,,016-300-040,TRAN2018-0879,,Non-Sensitive
022-051-088,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),6,,1,,10/05/2018,TRPA-TRF-677,10/05/2018,,027-364-005,TRAN2018-0462,,Non-Sensitive
022-061-010,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,741.0,1,,08/12/2020,TRPA-TRF-1111,07/07/2020,,032-141-011,TRAN2020-0192,,Non-Sensitive
022-122-019,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,793.0,1,,11/13/2019,TRPA-TRF-891,10/23/2019,,026-077-017,TRAN2019-0770,,Non-Sensitive
023-102-041,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,871.0,1,,09/28/2019,TRPA-TRF-674,06/26/2019,,023-271-010,TRAN2018-0453,,Non-Sensitive
023-102-042,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,882.0,1,,04/29/2020,TRPA-TRF-1107,04/28/2020,,029-181-021,TRAN2020-0173,,Non-Sensitive
023-103-014,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,882.0,1,,09/28/2019,TRPA-TRF-673,06/26/2019,,023-271-010,TRAN2018-0452,,Non-Sensitive
023-111-039,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,10/31/2017,TRPA-TRF-545,09/22/2017,,023-481-003,TRAN2017-0501,,Non-Sensitive
023-111-039,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,07/11/2018,TRPA-TRF-648,05/09/2018,,022-122-019,TRAN2018-0211,,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,182,,08/03/2023,TRPA-TRF-2313,06/19/2023,,031-122-012,CORR2023-0935,CORR2023-0935,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,206,,01/31/2024,TRPA-TRF-2386,03/22/2016,,023-102-041,CORR2024-0059,CORR2024-0059,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,5349,,01/31/2024,TRPA-TRF-2388,05/26/2022,,023-241-042,CORR2024-0070,CORR2024-0070,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,26,,01/31/2024,TRPA-TRF-2391,08/05/2015,,023-772-008,CORR2024-0071,CORR2024-0071,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,63,,01/31/2024,TRPA-TRF-2392,07/07/2021,,025-041-023,CORR2024-0073,CORR2024-0073,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,46,,02/08/2024,TRPA-TRF-2395,08/22/2016,,026-221-013,CORR2024-0099,CORR2024-0099,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,32,,02/07/2024,TRPA-TRF-2396,05/17/2017,,031-030-032,ERSP2017-0041,ERSP2017-0041,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,388,,02/08/2024,TRPA-TRF-2397,08/19/2016,,031-045-008,CORR2024-0101,CORR2024-0101,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,299,,02/08/2024,TRPA-TRF-2400,09/19/2016,,031-204-002,CORR2024-0108,CORR2024-0108,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,1692,,03/05/2024,TRPA-TRF-2403,09/21/2017,,080-163-018,CORR2024-0205,CORR2024-0205,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,151,,03/05/2024,TRPA-TRF-2404,09/19/2016,,035-292-002,CORR2024-0206,CORR2024-0206,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,749,,03/05/2024,TRPA-TRF-2405,08/23/2016,,034-161-037,CORR2024-0207,CORR2024-0207,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,610,,03/05/2024,TRPA-TRF-2406,08/22/2016,,033-574-007,CORR2024-0208,CORR2024-0208,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,915,,03/05/2024,TRPA-TRF-2407,03/05/2020,,032-242-005,CORR2024-0210,CORR2024-0210,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,184,,03/05/2024,TRPA-TRF-2408,07/14/2016,,031-236-009,CORR2024-0212,CORR2024-0212,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,63,,03/05/2024,TRPA-TRF-2409,07/07/2021,,025-041-010,CORR2024-0213,CORR2024-0213,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),7,,224,,06/27/2024,TRPA-TRF-2569,12/13/2023,,031-224-014,CORR2024-0720,CORR2024-0720,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),IPES,801.0,285,,02/08/2024,TRPA-TRF-2398,10/01/2020,,031-051-001,CORR2024-0102,CORR2024-0102,Non-Sensitive
023-141-005,Transfer Sending Parcel,Coverage (potential),IPES,801.0,176,,02/08/2024,TRPA-TRF-2399,01/21/2021,,031-051-002,CORR2024-0107,CORR2024-0107,Non-Sensitive
023-141-008,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,11/08/2022,TRPA-TRF-1997,10/11/2022,,025-271-023,TRAN2022-0338,,Non-Sensitive
023-141-027,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,05/07/2024,TRPA-TRF-1830,04/12/2024,,033-854-015,TRAN2021-0555,,Non-Sensitive
023-141-037,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,890.0,1,,03/08/2022,TRPA-TRF-1879,02/14/2022,,027-364-017,TRAN2021-1207,,Non-Sensitive
023-142-023,Transfer Sending Parcel,Coverage (potential),IPES,750.0,579,,02/29/2024,TRPA-TRF-2349,05/26/2023,,032-282-003,CORR2023-1635,CORR2023-1635,Non-Sensitive
023-142-023,Transfer Sending Parcel,Coverage (potential),IPES,750.0,591,,02/29/2024,TRPA-TRF-2350,05/26/2023,,032-282-004,CORR2023-1635,CORR2023-1635,Non-Sensitive
023-142-023,Transfer Sending Parcel,Coverage (potential),IPES,750.0,409,,02/29/2024,TRPA-TRF-2351,07/10/2017,,035-272-009,CORR2023-1635,CORR2023-1635,Non-Sensitive
023-151-003,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),5,,6,,03/22/2023,TRPA-TRF-1451,03/21/2023,,032-161-012,TRAN2021-0168,,Non-Sensitive
023-151-003,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),5,,5,,03/22/2023,TRPA-TRF-1452,03/21/2023,,032-161-001,TRAN2021-0167,,Non-Sensitive
023-171-009,Transfer Sending Parcel,Coverage (potential),7,,191,,04/21/2023,TRPA-TRF-2210,03/27/2023,,031-132-010,CORR2023-0412,CORR2023-0412,Non-Sensitive
023-181-038,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,02/03/2022,TRPA-TRF-1443,02/02/2022,,032-291-029,TRAN2021-0062,,Non-Sensitive
023-191-007,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,03/26/2018,TRPA-TRF-371,08/19/2016,,031-045-008,TRAN2016-0398,,Non-Sensitive
023-191-007,Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,4,,01/27/2021,TRPA-TRF-1272,01/20/2021,,029-051-010,TRAN2020-0557,,Non-Sensitive
023-191-007,Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,6,,03/30/2021,TRPA-TRF-1436,03/26/2021,,029-051-015,TRAN2021-0042,,Non-Sensitive
023-191-018,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,04/18/2022,TRPA-TRF-1821,04/14/2022,,080-172-006,TRAN2021-0714,TRAN2021-0714,Non-Sensitive
023-201-075,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,10849,,01/08/2016,TRPA-TRF-356,05/29/2015,,032-191-021,TRAN2014-1102,,Non-Sensitive
023-201-075,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,3532,,01/22/2018,TRPA-TRF-611,07/03/2014,,031-241-24,TRAN2013-0685,TRAN2013-0685,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,346,,04/19/2024,TRPA-TRF-2519,02/27/2024,,032-510-003,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,514,,04/19/2024,TRPA-TRF-2520,02/27/2024,,032-510-004,TRAN2023-1508,TRAN2023-1508 ,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,414,,04/19/2024,TRPA-TRF-2521,02/27/2024,,032-510-006,TRAN2023-1508,TRAN2023-1508 ,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,211,,04/19/2024,TRPA-TRF-2522,02/27/2024,,032-510-005,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,33,,04/19/2024,TRPA-TRF-2523,02/27/2024,,032-510-008,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,2199,,04/19/2024,TRPA-TRF-2524,02/27/2024,,032-510-010,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
023-374-002,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,1283,,04/19/2024,TRPA-TRF-2525,02/27/2024,,032-510-011,TRAN2023-1508,TRAN2023-1508,Non-Sensitive
023-392-003,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,18000,,10/31/2017,TRPA-TRF-380,10/03/2017,,032-191-021,TRAN2016-0457,,Non-Sensitive
023-392-047,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,3200,,08/28/2020,TRPA-TRF-1120,07/15/2020,,132-240-03,TRAN2020-0208,,Non-Sensitive
023-393-003,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,5000,,06/22/2020,TRPA-TRF-640,06/10/2020,,032-510-001,TRAN2018-0119,,Non-Sensitive
023-393-027,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,4500,,06/18/2021,TRPA-TRF-843,06/10/2021,,1318-15-802-005,TRAN2019-0484,,Non-Sensitive
023-481-003,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,989.0,1,,04/29/2020,TRPA-TRF-1112,04/28/2020,,029-181-020,TRAN2020-0201,,Non-Sensitive
023-532-002,Transfer Sending Parcel,Coverage (potential),IPES,775.0,295,,03/09/2023,TRPA-TRF-2126,02/23/2023,,023-681-001,CORR2023-0229,,Non-Sensitive
023-532-005,Transfer Sending Parcel,Coverage (potential),IPES,844.0,297,,04/27/2023,TRPA-TRF-2217,03/27/2023,,031-124-003,CORR2023-0428,,Non-Sensitive
023-532-005,Transfer Sending Parcel,Coverage (potential),IPES,844.0,268,,04/27/2023,TRPA-TRF-2218,03/27/2023,,031-163-017,CORR2023-0428,,Non-Sensitive
023-561-013,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,0.0,1,,12/10/2019,TRPA-TRF-922,11/13/2019,,025-670-021,TRAN2019-0841,,SEZ
023-571-001,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,976.0,1,,09/28/2019,TRPA-TRF-675,06/26/2019,,023-271-010,TRAN2018-0458,,Non-Sensitive
023-571-011,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,0.0,1,,11/09/2016,TRPA-TRF-421,11/09/2016,,023-182-006,TRAN2016-0683,,SEZ
023-644-013,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,760.0,1,,03/13/2018,TRPA-TRF-601,03/07/2018,,032-141-012,TRAN2017-1144,,Non-Sensitive
023-653-024,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,1020.0,1,,05/08/2020,TRPA-TRF-1105,04/30/2020,,029-181-019,TRAN2020-0146,,Non-Sensitive
023-655-001,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,1001.0,1,,09/28/2019,TRPA-TRF-672,06/26/2019,,023-271-010,TRAN2018-0442,,Non-Sensitive
023-684-012,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,2,,04/08/2020,TRPA-TRF-530,06/23/2017,,029-441-21,TRAN2017-0341,,Non-Sensitive
023-691-028,Transfer Sending Parcel,Coverage (potential),IPES,765.0,1452,,11/28/2018,TRPA-TRF-752,09/12/2018,,034-382-006,TRAN2018-0866,,Non-Sensitive
023-696-013,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,941.0,1,,03/13/2018,TRPA-TRF-600,03/07/2018,,032-141-012,TRAN2017-1143,,Non-Sensitive
023-756-014,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,152.0,1,,03/08/2022,TRPA-TRF-1833,03/07/2022,,032-161-002,TRAN2021-0856,,Sensitive
023-761-014,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,0.0,1,,08/08/2024,TRPA-TRF-834,07/15/2019,,1318-15-802-005,TRAN2019-0387,,SEZ
023-892-002,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,971.0,1,,03/12/2018,TRPA-TRF-599,03/07/2018,,032-141-012,TRAN2017-1142,16060121,Non-Sensitive
023-892-015,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,808.0,1,,09/28/2019,TRPA-TRF-671,06/26/2019,,023-271-010,TRAN2018-0441,,Non-Sensitive
025-051-028,Transfer Sending Parcel,Coverage (potential),1b,,1850,,11/04/2015,TRPA-TRF-296,02/23/2015,,028-090-093,TRAN2015-0106,,SEZ
025-081-013,Transfer Sending Parcel,Coverage (soft),1b,,549,,09/07/2022,TRPA-TRF-2023,08/24/2022,,032-510-007,TRAN2022-0223,TRAN2022-0223,SEZ
025-081-013,Transfer Sending Parcel,Coverage (soft),1b,,549,,09/07/2022,TRPA-TRF-2024,08/25/2022,,032-510-009,TRAN2022-0224,,SEZ
025-202-012,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,738.0,1,,09/24/2024,TRPA-TRF-2526,08/27/2024,,032-291-029,TRAN2024-0028,,Non-Sensitive
025-282-010,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,746.0,1,,11/04/2015,TRPA-TRF-297,03/23/2015,,025-544-010,TRAN2014-1379,,Non-Sensitive
025-360-027,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),1b,,1,,09/28/2019,TRPA-TRF-701,06/26/2019,,023-271-010,TRAN2018-0586,,SEZ
025-377-009,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,880.0,1,,11/29/2016,TRPA-TRF-424,11/29/2016,,023-191-007,TRAN2016-0719,,Non-Sensitive
025-381-012,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,06/21/2024,TRPA-TRF-2559,06/11/2024,,085-050-032,TRAN2024-0355,,Non-Sensitive
025-551-006,Transfer Sending Parcel,Coverage (hard),1b,,560,,12/20/2022,TRPA-TRF-2072,11/28/2022,,022-020-001,TRAN2022-0524,,SEZ
025-552-001,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,05/03/2022,TRPA-TRF-1874,05/02/2022,,032-161-002,TRAN2021-1723,,Non-Sensitive
025-643-005,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,783.0,1,,03/06/2025,TRPA-TRF-2662,03/05/2025,,032-291-029,TRAN2024-0995,,Non-Sensitive
025-644-005,Transfer Sending Parcel,Coverage (potential),IPES,763.0,1411,,01/07/2020,TRPA-TRF-986,11/21/2019,,080-147-006,CORR2020-0002,CTC Transfer,Non-Sensitive
025-644-005,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,763.0,1,,03/06/2025,TRPA-TRF-2663,03/05/2025,,032-291-029,TRAN2024-0995,,Non-Sensitive
025-734-004,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,727.0,1,,03/06/2025,TRPA-TRF-2664,03/05/2025,,032-291-029,TRAN2024-0995,,Non-Sensitive
025-734-006,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,762.0,1,,03/06/2025,TRPA-TRF-2665,03/05/2025,,032-291-029,TRAN2024-0995,,Non-Sensitive
025-741-001,Transfer Sending Parcel,Coverage (potential),IPES,832.0,1744,,05/07/2018,TRPA-TRF-649,11/20/2017,,036-611-019,TRAN2018-0272,CTC Transfer,Non-Sensitive
025-741-001,Transfer Sending Parcel,Coverage (potential),IPES,832.0,139,,05/07/2018,TRPA-TRF-650,06/12/2015,,033-575-004,TRAN2018-0273,CTC Transfer,Non-Sensitive
025-744-004,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,737.0,1,,03/06/2025,TRPA-TRF-2666,03/05/2025,,032-291-029,TRAN2024-0995,,Non-Sensitive
025-884-001,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,0.0,1,,01/17/2020,TRPA-TRF-775,01/03/2020,,023-181-043,TRAN2019-0021,,SEZ
026-032-014,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/04/2015,TRPA-TRF-291,10/07/2014,,023-441-037,TRAN2014-0883,,Non-Sensitive
026-032-014,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/04/2015,TRPA-TRF-302,06/25/2015,,023-892-015,TRAN2015-0279,,Non-Sensitive
026-032-014,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/04/2015,TRPA-TRF-303,06/25/2015,,023-102-042,TRAN2015-0280,,Non-Sensitive
026-049-002,Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,21,,02/08/2024,TRPA-TRF-2387,03/09/2023,,032-291-029,TRAN2022-1418,TRAN2022-1418,Non-Sensitive
026-061-003,Transfer Sending Parcel,Coverage (potential),1b,,1501,,11/03/2015,TRPA-TRF-308,10/07/2015,,028-123-007,TRAN2015-0702,,SEZ
026-061-012,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,868.0,1,,10/31/2017,TRPA-TRF-417,04/17/2017,,026-068-010,TRAN2016-0601,,Non-Sensitive
026-061-015,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,859.0,1,,04/08/2020,TRPA-TRF-527,06/23/2017,,029-441-21,TRAN2017-0296,,Non-Sensitive
026-061-04,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),7,,1,,10/31/2017,TRPA-TRF-416,04/17/2017,,026-068-018,TRAN2016-0600,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,10/09/2020,TRPA-TRF-1290,09/18/2020,,032-352-006,TRAN2020-0995,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,08/19/2021,TRPA-TRF-1450,07/29/2021,,081-043-012,TRAN2021-0186,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/08/2022,TRPA-TRF-1975,06/29/2022,,033-744-001,TRAN2022-0034,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/08/2022,TRPA-TRF-1980,07/06/2022,,034-473-004,TRAN2022-0325,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,11/08/2022,TRPA-TRF-1994,06/29/2022,,025-451-009,TRAN2022-0061,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,08/17/2022,TRPA-TRF-2015,07/27/2022,,033-644-001,TRAN2022-0750,,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,04/27/2023,TRPA-TRF-2022,04/17/2023,,033-882-003,TRAN2022-0938,TRAN2022-0938,Non-Sensitive
026-075-019,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,04/27/2023,TRPA-TRF-2068,11/16/2022,,027-122-021,TRAN2022-0466,,Non-Sensitive
026-095-014,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,895.0,1,,09/28/2019,TRPA-TRF-669,06/26/2019,,023-271-010,TRAN2018-0439,,Non-Sensitive
026-151-005,Transfer Sending Parcel,Coverage (potential),7,,1498,,05/06/2024,TRPA-TRF-2343,03/21/2023,,028-052-004,CORR2023-1611,CORR2023-1611,Non-Sensitive
026-152-012,Transfer Sending Parcel,Coverage (potential),7,,550,,02/26/2025,TRPA-TRF-2687,10/09/2024,,029-371-021,CORR2025-0243,CORR2025-0243,Non-Sensitive
026-154-012,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,10/19/2016,TRPA-TRF-411,09/01/2016,,023-653-024,TRAN2016-0571,,Non-Sensitive
026-154-012,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,10/31/2017,TRPA-TRF-412,05/05/2017,,023-644-013,TRAN2016-0572,,Non-Sensitive
026-154-012,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,1,,06/22/2017,TRPA-TRF-520,06/05/2017,,026-064-018,TRAN2017-0138,,Non-Sensitive
026-221-013,Transfer Sending Parcel,Potential Residential Unit of Use (PRUU),IPES,866.0,1,,10/07/2016,TRPA-TRF-386,10/07/2016,,023-191-007,TRAN2016-0494,,Non-Sensitive
027-010-016,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),7,,2,,11/04/2022,TRPA-TRF-2030,10/11/2022,,032-291-029,TRAN2022-0999,,Non-Sensitive
027-040-033,Transfer Sending Parcel,Tourist Accommodation Unit (TAU),1b,,63,,11/19/2015,TRPA-TRF-97,02/25/2014,,1318-27-001-001,TRAN2013-0356,,SEZ
027-040-043,Transfer Sending Parcel,Multi-Family Residential Unit of Use (MFRUU),7,,1,,03/21/2023,TRPA-TRF-2122,03/15/2023,,031-093-026,TRAN2023-0091,,Non-Sensitive
027-040-043,Transfer Sending Parcel,Multi-Family Residential Unit of Use (MFRUU),7,,4,,08/01/2023,TRPA-TRF-2307,05/21/2023,,029-341-001,ERSP2023-0463,,Non-Sensitive
027-040-043,Transfer Sending Parcel,Multi-Family Residential Unit of Use (MFRUU),7,,4,,08/01/2023,TRPA-TRF-2308,05/21/2023,,029-341-002,ERSP2023-0463,,Non-Sensitive
027-040-043,Transfer Sending Parcel,Multi-Family Residential Unit of Use (MFRUU),7,,4,,08/01/2023,TRPA-TRF-2309,05/21/2023,,029-341-003,ERSP2023-0463,,Non-Sensitive
027-040-043,Transfer Sending Parcel,Commercial Floor Area (CFA),7,,100,,09/18/2024,TRPA-TRF-2573,08/12/2024,,032-291-029,TRAN2024-0762,,Non-Sensitive
027-040-043,Transfer Sending Parcel,Tourist Accommodation Unit (TAU),7,,64,,09/27/2024,TRPA-TRF-2591,08/20/2024,,094-110-021,TRAN2024-0623,,Non-Sensitive
027-072-015,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,04/09/2020,TRPA-TRF-490,03/30/2017,,029-441-21,TRAN2017-0043,,SEZ
027-072-016,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,04/08/2020,TRPA-TRF-486,03/30/2017,,029-441-21,TRAN2017-0039,,SEZ
027-072-034,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,04/09/2020,TRPA-TRF-488,03/30/2017,,029-441-21,TRAN2017-0041,,SEZ
027-073-029,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,08/01/2017,TRPA-TRF-524,06/22/2017,,023-696-013,TRAN2017-0278,,SEZ
027-073-029,Transfer Sending Parcel,Restoration Credit,1b,,25000,,05/25/2023,TRPA-TRF-2276,05/23/2023,,032-090-005,CORR2023-0519,CORR2023-0519,SEZ
027-073-029,Transfer Sending Parcel,Restoration Credit,1b,,1208,,12/18/2024,TRPA-TRF-2629,11/21/2024,,027-090-025,ERSP2024-0775,ERSP2024-0775,SEZ
027-074-005,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,04/04/2018,TRPA-TRF-430,03/21/2018,,028-011-19,TRAN2016-0698,,SEZ
027-074-005,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,01/30/2020,TRPA-TRF-978,01/29/2020,,1418-10-401-003,TRAN2019-1196,,SEZ
027-081-002,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,04/09/2020,TRPA-TRF-487,03/30/2017,,029-441-21,TRAN2017-0040,,SEZ
027-081-006,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),1b,,1,,04/09/2020,TRPA-TRF-489,03/30/2017,,029-441-21,TRAN2017-0042,,SEZ
027-082-033,Transfer Sending Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,11/18/2021,TRPA-TRF-1698,11/17/2021,,016-313-010,TRAN2021-0458,,Non-Sensitive
